23:59:48  |  Platform  |  Info  |  * Initialise: RenderManager  |  C:\Game_Engine\MyGUI_3.2.2\Platforms\Ogre\OgrePlatform\src\MyGUI_OgreRenderManager.cpp  |  43
23:59:48  |  Platform  |  Info  |  RenderManager successfully initialized  |  C:\Game_Engine\MyGUI_3.2.2\Platforms\Ogre\OgrePlatform\src\MyGUI_OgreRenderManager.cpp  |  71
23:59:48  |  Platform  |  Info  |  * Initialise: DataManager  |  C:\Game_Engine\MyGUI_3.2.2\Platforms\Ogre\OgrePlatform\src\MyGUI_OgreDataManager.cpp  |  27
23:59:48  |  Platform  |  Info  |  DataManager successfully initialized  |  C:\Game_Engine\MyGUI_3.2.2\Platforms\Ogre\OgrePlatform\src\MyGUI_OgreDataManager.cpp  |  35
23:59:48  |  Core  |  Info  |  * Initialise: Gui  |  C:\Game_Engine\MyGUI_3.2.2\MyGUIEngine\src\MyGUI_Gui.cpp  |  61
23:59:48  |  Core  |  Info  |  * MyGUI version 3.2.2  |  C:\Game_Engine\MyGUI_3.2.2\MyGUIEngine\src\MyGUI_Gui.cpp  |  66
23:59:48  |  Core  |  Info  |  * Initialise: ResourceManager  |  C:\Game_Engine\MyGUI_3.2.2\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  32
23:59:48  |  Core  |  Info  |  ResourceManager successfully initialized  |  C:\Game_Engine\MyGUI_3.2.2\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  40
23:59:48  |  Core  |  Info  |  * Initialise: LayerManager  |  C:\Game_Engine\MyGUI_3.2.2\MyGUIEngine\src\MyGUI_LayerManager.cpp  |  33
23:59:48  |  Core  |  Info  |  LayerManager successfully initialized  |  C:\Game_Engine\MyGUI_3.2.2\MyGUIEngine\src\MyGUI_LayerManager.cpp  |  41
23:59:48  |  Core  |  Info  |  * Initialise: WidgetManager  |  C:\Game_Engine\MyGUI_3.2.2\MyGUIEngine\src\MyGUI_WidgetManager.cpp  |  53
23:59:48  |  Core  |  Info  |  WidgetManager successfully initialized  |  C:\Game_Engine\MyGUI_3.2.2\MyGUIEngine\src\MyGUI_WidgetManager.cpp  |  84
